key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05055-480602-2,85.1,23.44,0.45,0.42,560,0.37,0,0.14,0.06,0.5,0.41,0.46,0.72,0.31,0.27,0.7,0.12,0.41,1988,0.65,0.12,0.1,0
05055-480700-1,464,1.81,0.38,0.32,192,0.22,0.09,0.39,0.11,0.49,0.11,0.75,0.6,0.39,0.32,0.65,0.07,0.11,1956,0.71,0.3,0.1,0
05055-480700-2,251,6.23,0.51,0.92,205,0.41,0.16,0.51,0.1,0.21,0.17,0.18,0.74,0.46,0.28,0.65,0.02,0.04,1984,0.82,0.22,0.11,0
05055-480801-1,983.6,1.54,0.47,0.04,562,0.64,0,0.16,0.04,0.64,0.34,0.75,0.98,0.3,0.2,0.7,0.18,0.28,1995,0.98,0.38,0.06,0
05055-480801-2,936.5,1.4,0.49,0.76,309,0.7,0,0.4,0.06,0.4,0.31,0.6,0.94,0.21,0.12,0.6,0.08,0.18,1991,0.84,0.06,0.06,0
05055-480801-3,1426.8,1.37,0.47,0.54,472,0.59,0.32,0.3,0.01,0.61,0.23,0.31,1,0.5,0.17,0.7,0.02,0.23,1979,0.64,0,0.18,0
05055-480802-1,3990.7,0.52,0.52,0.45,294,0.58,0,0.25,0.12,0.59,0.25,0.41,0.95,0.41,0.24,0.69,0.08,0.11,1971,0.73,0.05,0.13,0
05055-480802-2,212,3.31,0.64,0,238,0.65,0,0.25,0.02,0.71,0.43,0.51,0.93,0.26,0.23,0.63,0.06,0.64,1996,0.9,0.75,0.05,0
05055-480802-3,896.3,2.32,0.47,0.23,469,0.48,0,0.26,0.02,0.79,0.16,0.42,0.74,0.35,0.16,0.64,0.09,0.17,1998,0.92,0.22,0.15,0
05057-480101-1,18.3,84.2,0.6,0.57,369,0.34,0.22,0.09,0.02,0.34,0.24,0.63,0.88,0.43,0.18,0.88,0.18,0.18,1984,0.47,0,0.27,0
05057-480101-2,27.8,25.91,0.51,0.55,208,0.45,0,0.32,0,0.47,0.22,0.73,0.8,0.19,0.24,0.74,0.07,0.22,1979,0.38,0.05,0.03,0
05057-480102-1,10.3,128.21,0.51,0.14,374,0.56,0.07,0.26,0.02,0.33,0.08,0.6,0.86,0.29,0.27,0.63,0.15,0.22,1970,0.52,0,0.04,0
05057-480102-2,16,78.91,0.4,0.17,449,0.56,0,0.12,0.05,0.51,0.21,0.48,0.81,0.34,0.27,0.7,0.04,0.32,1991,0.7,0,0.12,0
05057-480200-1,10.4,99.8,0.38,0.68,358,0.43,0,0.41,0.01,0.22,0.33,0.37,0.92,0.3,0.17,0.54,0.04,0.2,1978,0.46,0.26,0.06,0
05057-480200-2,14.2,41.34,0.62,1,250,0.43,0,0.33,0.04,0.23,0.31,0.48,0.87,0.08,0.21,0.63,0.02,0.17,1976,0.68,0,0.12,0
05057-480200-3,16.8,54.05,0.58,0.22,329,0.48,0,0.16,0.08,0.4,0.24,0.69,0.78,0.43,0.3,0.68,0.27,0.02,1989,0.34,0.02,0.06,0
05057-480301-1,218.4,1.48,0.52,1,79,0.23,0,0.38,0.04,0,0,0,0.53,0.25,0.31,0.57,0,0.05,1964,0.53,0,0,0
05057-480301-2,631.6,1.2,0.62,0,150,0.27,0,0.56,0,0.05,0.19,0.37,0.48,0.19,0.19,0.48,0,0,1974,0.04,0.87,0,0
05057-480301-3,1719.5,0.28,0.53,0,102,0.17,0,0.21,0.08,0.21,0,0,0.65,0.08,0.3,0.46,0,0,1966,0.63,0,0.4,0
05057-480302-1,1568.9,0.35,0.33,0,152,0.36,0,0.12,0.01,0.95,0.11,0.11,0.92,0.54,0.38,0.67,0,0.14,1959,0.17,0,0.32,0
05057-480302-2,941.6,1.11,0.57,0.82,199,0.55,0,0.13,0,0.81,0.19,0.66,0.91,0.47,0.19,0.87,0.03,0.17,1976,0.17,0.17,0,0
05057-480302-3,160,10.46,0.65,0.73,450,0.46,0.12,0.31,0,0.61,0.43,0.41,0.73,0.31,0.22,0.57,0.11,0.08,1978,0.6,0.11,0.08,0
05057-480400-1,10.8,63.2,0.51,0.19,226,0.47,0,0.17,0.06,0.48,0.28,0.68,0.77,0.45,0.26,0.72,0.13,0.04,1987,0.71,0,0.07,0
05057-480400-2,21.9,42.08,0.55,0.13,262,0.73,0,0.17,0.04,0.27,0.22,0.54,0.71,0.29,0.17,0.7,0.09,0.26,1977,0.49,0.63,0.04,0
05057-480400-3,24.8,45.4,0.69,0.03,299,0.4,0,0.22,0,0.41,0.21,0.4,0.82,0.33,0.25,0.67,0.06,0.14,1976,0.6,0.03,0.25,0
05057-480400-4,24.5,43.15,0.49,0.01,266,0.6,0,0.18,0.02,0.53,0.11,0.58,0.82,0.36,0.25,0.64,0.18,0.15,1981,0.51,0,0.14,0
